8 15
1 5 1
1 6 2
2 1 1
2 4 1
3 4 1
3 5 2
3 8 1
5 2 1
5 4 1
5 7 1
6 7 1
7 1 1
7 2 1
7 8 1
8 4 1
20 35
1 4 1
2 1 1
3 2 1
3 5 1
3 7 1
3 9 1
4 3 1
4 5 1
5 2 1
5 6 1
6 1 1
6 2 1
6 3 1
7 8 1
8 9 1
9 7 1
10 13 1
11 10 1
12 15 1
13 12 1
13 14 2
13 20 1
14 11 1
14 12 1
14 15 2
15 10 1
15 11 1
16 19 1
17 16 1
18 16 1
18 17 1
19 18 1
20 5 1
20 15 1
20 19 1
9 7
1 2 2
2 3 2
3 4 2
3 6 2
4 5 2
7 8 2
8 9 2
16 16
2 1 1
3 2 1
4 1 1
4 3 1
5 6 1
5 7 1
6 7 1
8 9 2
9 10 2
10 11 1
11 12 1
12 13 1
13 14 1
14 15 1
15 16 1
16 11 1
0 0
